entry_id	meaning_id	arabic	meaning	sort_order	source_volume	source_chapter	source_row
f8820674-314b-4926-9a31-75e45e730822	293ab580-d2f3-4427-9dcb-86b891acc78e	قَلَمٌ	একটি কলম	1	1	1	1
80a4136b-9de6-44a1-aafb-35ef29d113f7	1464f82a-bcba-4a4b-b257-523b986699c2	كِتَابٌ	একটি বই	2	1	1	2
2c62a44b-0608-4794-82b0-77f468468ee0	ec5c352c-668b-4f1f-ada8-546569757d86	بَيْتٌ	একটি ঘর	3	1	1	3
8b60d1d8-7132-4954-ac2c-0e09f43361ca	a87f7172-3add-49c5-abf3-f1d22198226c	مِصْبَاحٌ	একটি বাতি	4	1	1	4
0534d6a0-b4c2-4a61-96e0-cdb80ecaf364	b75989e4-79ea-4bcc-bca8-239c4b1adc14	سَرِيْرٌ	একটি খাট	5	1	1	5
8d141ce0-ed29-4ee9-a40a-93247264afce	1b88404f-ad70-4b38-8339-b762c29f8fe0	كُرْسِيٌّ	একটি চেয়ার	6	1	1	6
8c2eb0f0-e902-4008-937f-5087c1be1b0a	de234cd8-4e35-44f5-b96b-4d6e80e05a2d	بَابٌ	একটি দরজা	7	1	1	7
ddc5c9c3-322c-4a21-a429-702aa2c4339f	0da58ebd-1a6f-4c10-a328-06f8e2850471	جِدَارٌ	একটি দেয়াল	8	1	1	8
0bf88e15-2574-4e7a-91b6-b64abab280b4	f95ccd9b-f1b1-4fcb-88cd-400b2deeb5cc	مَسْجِدٌ	একটি মাসজিদ	9	1	1	9
05ff7150-ed73-4147-b199-457235a5cd8e	0980d016-00cb-4229-a49b-eac3804250a5	مَدْرَسَةٌ	একটি বিদ্যালয়	10	1	1	10
bebd4cae-c846-4c39-bc99-dd7a3dab3bbd	f0ff8c21-9700-487d-9ea9-d7857e715991	مِسْطَرَة	একটি রুলার	11	1	1	11
adc98c1d-8177-4856-92e5-387e3984b5d5	01314597-e786-4fb3-8db8-4bf67378ad0a	كُرَاسَةٌ	একটি খাতা	12	1	1	12
09620b33-84ee-435f-9e7f-d9359647cd2b	504c9f25-76b2-4c3c-aaf1-e2e584f1f8e8	حُجْرَةٌ/غُرْفَةٌ	একটি কামরা	13	1	1	13
5a729124-5832-4709-a004-ad434bf3d9f9	ec4dac3b-9176-4e3b-b9a7-547e93f160d6	سَبُّوْرَةٌ	একটি ব্ল্যাকবোর্ড	14	1	1	14
2e57858e-1849-4a50-b94e-b4b0010b43f6	a374a6d0-7d9a-499a-ab7c-1f1e26d5ae82	حَقِيْبَةٌ	একটি ব্যাগ	15	1	1	15
8d65fdc9-acb2-433f-b88d-0c9d571fa33a	193d9880-4f41-4026-9cca-02ae014f8a61	طَاوِلَةٌ	একটি টেবিল	16	1	1	16
8f2c9998-ebd3-4e0a-a16d-4e5ca5ce2f3c	995ab53d-c415-4de2-8072-2ebcc96e6ef9	قُفْلٌ	একটি তালা	17	1	1	17
c18cb804-ca1a-46a1-aed5-72f57281903a	55f5c284-0ca9-4b0a-b99b-65dec7e1d4c9	صُنْدُوْقٌ	একটি বাক্স	18	1	1	18
432e69a4-3225-4629-a049-e7e77888ee12	6f6b089e-3f7e-4b27-9b08-08cbdd6bdd19	مِظَلَّةٌ	একটি ছাতা	19	1	1	19
36ef35e0-84cc-4f6b-b47e-b40050dbb952	3379abbc-ea5b-43c1-aa04-b89e29e8c797	سَيَّارَةٌ	একটি কার	20	1	1	20
