entry_id	meaning_id	arabic	meaning	sort_order	source_volume	source_chapter	source_row
6720f17d-c943-5e5c-b9ab-2df15891b72c	9dcf40b1-1912-5b69-af5d-9db2f47ed44f	قرى	গ্রামগুলো	1			0I8WdD0j1oJm7ihXkGxf
a061591b-1166-5f4b-b7ba-138283d686e4	359a0ce9-e04e-5ec8-b7f1-2fe236143056	أرض	একটি জমিন/পৃথিবী	2			0oKSQjL6zUdO3Y3JGH3A
cbc82469-1f19-565c-b8c2-80f354a1e023	6261154b-f574-5716-a190-63fb4f902bad	أعمال	আমলসমূহ/কর্মসমূহ	3			0orrIwzuXYv8MC98FLKc
a101f387-4697-5bca-9caf-df0eba308919	126841ce-0808-5d8d-8b70-8e3494f29375	كثير	বেশি/অনেক	4			18bgAImWjKRxu43aqlPO
8784faae-a946-5ae4-b805-f25ed389466a	80dfd341-918d-501e-804c-599961a352eb	و	এবং	5			2M0VjsZ0P3zUnooWAqXn
1353bea9-c5cc-5903-b0b3-29ac850b4e21	f6f15d07-8883-55db-bbd3-a0663c711264	أب	বাবা	6			2UKePFXUT1r7FaC4mOsi
c6aa416d-f787-5770-bfa1-629c3c20af17	79da69c8-1f58-5556-8f11-32c3ad664017	ضعيف	দুর্বল	7			2XwnXtZcQxETpzG3Yp94
15619849-4d9e-544e-8054-cb393bef705f	15068251-b9e7-5878-b3b5-362d960bb2b2	مفاتيح	চাবিগুলো	8			2foyCoxUBD31RPl0jID1
9015ec6e-8267-57f0-96b9-ab9399caf2fa	432b943f-cd50-5c9e-9524-ac760f164d98	نظيف	পরিচ্ছন্ন	9			3T2GBBFxxEWu4p4KX0UV
fba25340-af32-5de9-8c65-b14d6aa04524	a7ec6914-bdf1-50c1-ba34-24779e6bb035	غبي/غبية	নির্বোধ	10			3kVLz6BXviFvKw7m9swz
e3c5cbad-9427-5ddb-b45a-a6bde1a5d628	509fb905-3d9f-5613-bc81-3d7ab606738e	هذا/هذه	এটি	11			4APL958xpz3osbC6tQi7
c4d968f0-48ae-5f3f-b446-d23a9439a3a9	7c3d02c4-a2f4-54d2-8c88-20ebafcb2ab1	كاذب/كاذبة	মিথ্যাবাদী	12			4FGIiGv8ativMFN6sWuf
3ac3a979-b82a-5f90-9722-71a010e16198	71e65087-310c-5c9a-999c-0a3aaed7c761	كرسي	একটি চেয়ার	13			4XE6OXXSEkTMaRtHIcSn
4c5ccbca-fa6d-5762-be32-c16c8b072337	f9a40744-abe2-56b9-b8b9-3ac2fdeabd18	صاف/صافية	স্বচ্ছ	14			4bzeUUhDFS4FYlXBiCYm
57a3fd55-563a-57d9-9945-cce253544d99	540be436-adb8-590f-9fc7-738a73839fc4	دار	বাড়ি	15			58EJ9oEu6rPFcYMKCGsY
bf3ad292-7195-5c19-871b-192605d8e1be	c26e026a-ec6a-570f-af9f-b23d995ea93c	عم	চাচা	16			5HBZXwR38HbSoAu1hOl7
afc0fe4b-f474-5a48-8767-e05adb6aa646	fd4b0012-6658-5344-9823-cce653f00d75	نحل	মৌমাছি	17			5wjL82lrWu482zqHPajt
381eed17-4c07-5f31-8d3f-a2949ad0484e	10701403-b969-5de4-a436-064662c876ae	آية	একটি আয়াত/নিদর্শন	18			615BbphDEbN3YC9ym95h
1d1ff8af-1055-5f19-8936-f0d8efdaabd7	c0080dd2-6f47-5aef-b099-c96e23fecd82	قصة	একটি গল্প	19			7MqCVIk9Xc2GMHJ6fJSE
87f3679a-d4bf-58fc-9161-1dabc071c5b4	66ab1383-1f99-537a-ad19-eebb374a155d	قصير	খাটো	20			7PZLgmljeRfRRpVBDH54
9fa05be4-871b-5b2b-82f4-6691652c5bcc	403a97f9-2bcd-5310-8184-c9d4499c2779	حار	গরম	21			8665D5fWXYYg9aalZKHd
728833b8-5556-5ed1-87b5-6ef68c3e5f53	582feef4-7181-5a1f-8336-ce2efe99e000	امرأة	একজন মহিলা	22			88XbvNCc3BCwbsyOOjZR
023b6650-deb7-5870-8eed-e1c8f7677544	e269ecdf-a738-54f2-8901-250d6a613419	قليل	কম	23			8QpCN5wQW0hIfWnH6jpl
3d5f6205-5ea9-5601-9a10-80ac323c7524	9fec564c-54cb-5919-ba37-29b68ac38d43	اسم	নাম	24			8WYSqs6xcqYCc2W3930r
58d01a71-37e0-5b39-8106-ffbcf55c5bc6	96c4ee25-2dc3-59ef-8947-6867cf1a7ea6	متاع	সম্পদ/ভোগসামগ্রী	25			8WnAKAzqxJnqinOfQhCE
5f1ef24d-489a-5865-bea9-c88206c873d7	65366213-869c-51d7-b981-788faf2751b1	جدة	দাদী/নানী	26			8anX0OZSIPinwsAMJf9p
f8f282f8-c5c1-54d7-9c68-5a58a4242bb0	62b5f1b2-cbd8-5c3c-9aaa-886b22c0be84	عنبة	একটি আঙ্গুর	27			93GUgrqhPF5EGOnDrUQo
70706374-9a71-56c0-b942-f36678504b5a	fd71eb85-b44b-583e-8277-326e69d6c699	ذىٔب	একটি নেকড়ে	28			9GqboK72VNcnysHpmcQY
57a8bac2-c45a-5ce1-a2a5-7d22198b1ec7	3658161e-61b9-5bc8-8c8f-81a8f8976dd3	أولٓىٔك	সেগুলো/ওরা	29			9ZA4vjJpN8L4WqVfWQDH
cbe084c3-9e87-5de9-a013-207e6cd739d1	704d7da9-ef77-5fa9-9afa-16f4c79638bf	ظهر	পিঠ	30			9zAZllHUm6YNI5ppifWs
3aab4395-23e9-555d-855b-d1d17025c68e	bdd4d54d-77fb-5287-9991-a7006d9defa8	رمانة	একটি আনার	31			A7cZ8kYBH0kIC51CGa6j
a8bca938-bcab-504c-87d1-f57aa49f3a72	65ced306-7ae9-577f-91f5-9818c4ab9931	ما	কী	32			ANRZ74yknUIRwH9XTwWv
e0da7021-fbee-5665-a566-a7485b5a94f5	278f061b-2029-50a1-a0e8-fc581b44bd94	عدو	শত্রু	33			AQrYdZLE3K7BUI2zgttk
4df3c642-6b58-5d44-b360-52053abd46f2	81ea105d-77f0-5db1-95b9-b47bd07608db	هؤلاء	এগুলো/এরা	34			AdNIKlbkxKhb1eqxiP12
54c61a8d-6d90-50f5-b1f7-fc49a1582a2d	b3f2fa1f-44fd-5958-ac92-df2bb33e6e89	شجر/شجرة	একটি গাছ	35			BRdDxjFXcPDnb9GLA5mL
c34f35ef-454d-5338-9014-3a7518a0eacb	59374355-4b90-5859-92df-eea0a8e95c41	حمار	একটি গাধা	36			BVq5vVfZbD5OT6qN6pkr
